sample,VisualFidelity,Contrastiveness,VFxContrastiveness,"Min(VF,Contrast)","Avg(VF,Contrast)",Support,Informative,Commonsense_Plausibility,mean_ece
1,0.32863095238095236,0.3078611349319451,0.27865167231485566,0.2759339536098791,0.2185987002677532,0.2450224175198764,0.49,0.11137551203370093,0.2850302625268835
2,0.2882619047619048,0.34926036806058564,0.29476529427057335,0.2794170761005103,0.18862568425285844,0.3345387448531642,0.4,0.16254873782396317,0.2753826523584496
3,0.31383333333333335,0.3756266910986556,0.3033490989109442,0.2797713168571395,0.15942875743981594,0.3133492944041339,0.41,0.07872488379478455,0.28296292729060163
4,0.3249166666666667,0.3874801097689177,0.340692828605114,0.3242653652426388,0.22392948938560397,0.29992392228358994,0.52,0.05376070380210875,0.31210875527372944
5,0.30240476190476195,0.3483246677491472,0.30665510313147576,0.2898683860501816,0.20069146797843757,0.36435351448514725,0.44,0.11605723977088928,0.2838069658774489
6,0.3201309523809524,0.32545047586591297,0.3102773481257654,0.2781480549326861,0.1936211334832445,0.24678254176594494,0.41,0.07234299734234811,0.27973418724336996
7,0.3006666666666667,0.399137770253786,0.28938276303931176,0.2780396878766668,0.1707980558339196,0.31777190180440695,0.4700000000000001,0.13228666692972182,0.2902008309181241
8,0.31566666666666665,0.34618916161025376,0.26354274985758674,0.28231281425864074,0.237981989888264,0.2827256134388492,0.4,0.08804842963814732,0.2999459393883948
9,0.3348690476190476,0.3100015164021029,0.2619165283630718,0.27854567449733747,0.14874304512424402,0.29686619892046595,0.5,0.0636860744655132,0.2645378697151315
10,0.3122142857142857,0.3159977053904182,0.2763181660019096,0.2684837070677403,0.1502932423276633,0.38640861388361686,0.42,0.12314938634634022,0.2595017444774557
11,0.2917142857142857,0.2890033926581044,0.24947820080131103,0.26143300028422484,0.1677729136527642,0.311267390296951,0.44,0.08365090206265449,0.24949686400838478
12,0.26107142857142857,0.29892969818820037,0.24475356506819054,0.2481708053769192,0.16043189803447513,0.35122437571694687,0.55,0.1250725170969963,0.2401443415980347
13,0.26976190476190476,0.4337032829561444,0.323418637404843,0.3140343851152968,0.1920759431108749,0.38833046438311525,0.46,0.10351852238178248,0.298513710276308
14,0.28800000000000003,0.31913884258789,0.2685887567168201,0.27660242788051537,0.20992854435039374,0.3649365775087609,0.44,0.07981926575303074,0.27235579564609463
15,0.308,0.3245611211806104,0.247492698974923,0.2667592140456047,0.15239351532879528,0.2460460849540803,0.42,0.05842496603727341,0.26165154550313524
16,0.2786904761904762,0.3591302639069343,0.28711793934686347,0.28173687619122384,0.14820149942125257,0.3244484799667907,0.56,0.13737724795937534,0.2620074131728877
17,0.3121666666666667,0.3859601967102634,0.33200597140854865,0.32452831887128275,0.19170593290869717,0.3096663351034772,0.46,0.14251789152622224,0.2966109320952091
18,0.2905476190476191,0.3422797195783187,0.28850185601359174,0.261034437124637,0.17242844535110227,0.2767631012682071,0.46,0.07928782224655154,0.26841859465901335
19,0.2727380952380953,0.4037401861162567,0.30391776107667134,0.30328248362679155,0.2245558171813429,0.322030216597284,0.49,0.07826673254370692,0.3003446995118983
20,0.3132857142857143,0.28631908408777235,0.23715452788680824,0.26022436037346197,0.15640004809511607,0.33770067879167953,0.46,0.08216766640543936,0.25200161548953426
21,0.30675,0.33873399345598854,0.26365943109625456,0.2609212405567182,0.24432075330164374,0.2845271568350404,0.36,0.06521789252758026,0.2966015822525441
22,0.3519047619047619,0.34900131302477677,0.30024438892696015,0.2681821029832294,0.2933644678218257,0.29051184761784865,0.46,0.08725779145956038,0.33142351425045474
23,0.23632142857142857,0.40018494696307416,0.2690735333818065,0.30300225026058025,0.15855986059446536,0.37947559426282707,0.3899999999999999,0.07113928720355032,0.26502207870965605
24,0.31845238095238093,0.34591820493646513,0.3044244658518574,0.264270338088603,0.21898000604250115,0.302980610382258,0.42,0.1034823213517666,0.294450197310449
25,0.3261785714285715,0.3049417664527786,0.3087375788896353,0.27944928500443594,0.21297127478524877,0.2870151166590648,0.47,0.13604918509721756,0.28136387088886633
26,0.3056785714285714,0.4033100339324757,0.2999150562015754,0.2915005496261455,0.21065350473113434,0.2841889035650672,0.48,0.06051558390259742,0.30654737003072713
27,0.32838095238095233,0.34553682780423267,0.26425255505378015,0.2733155020284336,0.22780580527875402,0.2822833008818452,0.39,0.1826202940940857,0.30057452848797966
28,0.29986904761904765,0.3130806893605552,0.2648349592170988,0.2400810328049398,0.14881905792219338,0.2716747281485209,0.42,0.09893075183033943,0.2539229316339321
29,0.2917619047619047,0.3366100642714618,0.2656751560049728,0.2719208225395038,0.2200276194861411,0.2646218275623846,0.43,0.12669683888554573,0.2827998628398359
30,0.3298214285714286,0.2988183625716961,0.24763538285215078,0.2624798536888555,0.18783008894020584,0.2884675765925888,0.43,0.08716871559619904,0.2721566266944435
31,0.31657142857142856,0.3192743166770204,0.2532830488493348,0.27682560798000155,0.15506728232629186,0.31268952830985397,0.48,0.0723605601489544,0.26363767585824693
32,0.2676428571428572,0.3330695155345002,0.3031501365441562,0.2680513555063454,0.1856794425500837,0.36079726456298206,0.45,0.09896826654672625,0.2621306050758137
33,0.3130833333333333,0.2996503545521812,0.26580482360398117,0.24842404763277784,0.15014588413458008,0.27165253057989697,0.41,0.08883199542760849,0.25429319067336487
34,0.26835714285714285,0.33065688249738384,0.2320807299217639,0.2680643502704764,0.15256487000334856,0.33599032149689945,0.47,0.1416739571094513,0.2505262984526251
35,0.3629880952380952,0.3929781385946525,0.34520480685258853,0.3431606465611175,0.2363509063274013,0.34083115309865664,0.45,0.11452345103025438,0.330772380053383
36,0.285,0.34238569612881475,0.2794130351483044,0.2695160610423478,0.16896536488999744,0.357483223509411,0.41999999999999993,0.09471578210592269,0.2654503536729374
37,0.3440833333333333,0.31813563050671695,0.28418060765607583,0.2773213156608129,0.19088297557338788,0.3245776625476958,0.42,0.09179153800010678,0.28436731313781266
38,0.358,0.31959169863259196,0.2721561243028524,0.2667970628996394,0.22939843988689887,0.3688003403045812,0.39,0.12684167057275775,0.3023300461731636
39,0.2699166666666667,0.22529855339441102,0.21122160061484774,0.18666207781469496,0.1698309085062904,0.28707073379102865,0.44,0.10565787106752392,0.22168204285578938
40,0.27775000000000005,0.3865396668615764,0.29594887093015104,0.3378437298194793,0.1777775213282641,0.3497137225491986,0.53,0.07047635495662691,0.28068906272994687
41,0.30088095238095236,0.2707533524956197,0.27705091651874914,0.2683657678391808,0.1856662147994857,0.2889416895745444,0.44,0.049420207142829894,0.25243350655868596
42,0.2728809523809524,0.3660108391836942,0.2517251588462493,0.2761761135880176,0.1459875960884219,0.3468422386375789,0.49000000000000005,0.07737405046820639,0.26162646255102284
43,0.24461904761904762,0.3220840327540702,0.27303965112270595,0.2729258301890566,0.1618078275644937,0.3189769715711077,0.46,0.10741301581263546,0.24283696931253718
44,0.3518333333333334,0.3366112079373369,0.3065595339084492,0.2852297830611954,0.1738110655286814,0.2695352822395077,0.44,0.08336744442582131,0.2874185355997839
45,0.3293809523809524,0.31761838360257655,0.324449329214143,0.29410458379165894,0.16224183518273116,0.3208657513338383,0.43,0.09136869236826893,0.26974705705542
46,0.2804642857142857,0.3664894235246941,0.310608108898026,0.2879249168759436,0.21650968230914708,0.2694084924583953,0.4099999999999999,0.08985102325677874,0.2878211305160423
47,0.339202380952381,0.3382939086223679,0.2865003603940257,0.28809464496380605,0.20889736518130952,0.28961830097744184,0.4,0.14960034921765325,0.29546455158535284
48,0.3825476190476191,0.38535731104170806,0.3291796486017848,0.34068495309011715,0.18967059242752338,0.2586949213544835,0.51,0.06782210946083071,0.3191918408389502
49,0.341047619047619,0.36441607305578977,0.33585046299397553,0.3417315179934131,0.19384623260061634,0.30073126042403203,0.46,0.07432697445154193,0.29976997490134166
50,0.3426071428571429,0.3178397180485079,0.2681269599284893,0.27274978549442797,0.22137529251757024,0.29560455066211516,0.46,0.13611577063798905,0.2939407178077404
